,t,fire_0_x,fire_0_y,fire_1_x,fire_1_y,fire_2_x,fire_2_y,fire_3_x,fire_3_y,fire_4_x,fire_4_y,police_0_x,police_0_y,police_1_x,police_1_y,police_2_x,police_2_y,police_3_x,police_3_y,police_4_x,police_4_y,guard_0_x,guard_0_y,guard_1_x,guard_1_y,guard_2_x,guard_2_y,guard_3_x,guard_3_y,guard_4_x,guard_4_y
0,0,-0.011280223309312533,-0.07372991403426188,-0.09551793407768557,0.04740770074350951,-0.03903013021032518,-0.04584151971360282,-0.03543517808278216,0.0017535340738841665,-0.09964689613814484,0.09649700097969101,-0.04518394635887915,0.09203375096093332,-0.06828071555835176,-0.022962876965201363,-0.03220748052306168,0.024050206091773354,0.004820168549746784,-0.025614433872346434,-0.029362786841228353,0.01668631356907282,0.08620699857713388,-0.03660185058329122,0.06533987401719925,-0.07619046688731271,-0.08637217433069562,0.08245014690905009,0.021827694755128538,-0.026221282498738875,0.0019935590519076785,0.036286830885323786
1,1,0.0387038563371998,-0.20572168508573174,-0.10820403799739922,0.16286781016416793,-0.03575694873686872,-0.060939701372967475,-0.05309649307004663,-0.023674853121895857,-0.2002921876027126,0.16274930652192143,-0.014890961848990952,0.23691675911826954,-0.05675128868460049,-0.03672470736837177,-0.09586594132721762,-0.04670959530769038,-0.048493989690057894,-0.042751947719174545,-0.14912682729931898,0.0025321527885970203,0.14063147270536286,0.0010751621091502211,0.09599595606454889,-0.13047759409131945,-0.22981727399061774,0.09416145911793124,0.13618607264928123,-0.01693136084314728,0.06423169417602587,-0.021494400278623087
2,2,0.03290004980079817,-0.34728688312774336,-0.05181288688192054,0.21761696373912487,-0.07463102557421597,-0.142274153631119,-0.1031923072141484,-0.13128489741168578,-0.2844551694925854,0.2678408903401144,0.0029667989820952832,0.37673382018328283,-0.002078089923503605,0.026565274014788032,-0.12616160995663847,-0.09733703018808298,-0.11988176034105918,-0.024134064240729215,-0.30150588289028396,0.0008674297354990263,0.26978242226418736,0.13806024190474747,0.21636836523248623,-0.17340870626478466,-0.4470072169964158,0.0960592586963742,0.23898863138454135,-0.07443903746037224,0.15759752241593605,-0.11911947112109911
3,3,-0.04176870917095019,-0.515070302232371,0.03948657246161179,0.2519847716940047,-0.04336661124751888,-0.1895527541208442,-0.07630658442973173,-0.1832585956058929,-0.45763964546397495,0.460491650981689,-0.06279450013085744,0.5860113692195936,0.10255524688575332,0.06722200062607042,-0.1285129188332814,-0.08226909497882871,-0.14936209614926443,0.06704560315225301,-0.5008509167094678,-0.04226984689412952,0.4304368748759111,0.2364633534550436,0.27922062360298716,-0.20274716197599918,-0.6346616931718871,0.14245048194963078,0.35335214840768364,-0.20904336819664365,0.21941719545019983,-0.15718103103501313
4,4,-0.17598663657309893,-0.7145927051856831,0.04419761535826295,0.2643839758003299,0.007775952990702134,-0.19753051498093316,-0.0533235208679812,-0.25269283235405693,-0.5480032315075026,0.5725805248218386,-0.08271067741425911,0.8688444868475012,0.19525605967659965,0.06308851127862587,-0.18223583289138906,-0.07360397479103888,-0.19356395043322344,0.08071411563074898,-0.6887064970968181,-0.11304313153579355,0.5686360245906139,0.35069429301215943,0.36906257269436793,-0.21662125575152166,-0.9106304796158653,0.10923864240908152,0.5018500116663458,-0.34028234025927595,0.19922789095375487,-0.28557536663104804
5,5,-0.2725569357211979,-0.9567178374964574,0.02342195965129624,0.3613118333248648,-0.01891135953240008,-0.24138525004395553,-0.09734338496407746,-0.3067198449321288,-0.6054457452148287,0.708026377565965,-0.18159319542786342,1.1097983287297992,0.35499641760755596,0.0779988475220385,-0.13630136304868112,-0.1601406368412301,-0.16215231116582896,0.09492580831907639,-0.971864007526885,-0.17041574510453697,0.7237973000865852,0.5052342936721237,0.536166433608804,-0.19633277793217535,-1.235384750627126,0.035188840625549805,0.6420747431203513,-0.44395728452204664,0.1737842136696368,-0.3563263720630579
6,6,-0.436176899331264,-1.2668634464423132,0.01575760275253247,0.43939755778646866,0.04267718553491934,-0.27544781128713663,-0.19029892109247593,-0.268541254779625,-0.6224879702551632,0.9159422959884336,-0.36914937130331726,1.3129468496464627,0.4553199857220358,0.07134883144227964,-0.03050141654607863,-0.26000539029710845,-0.14315804425901973,0.19784145628323652,-1.2252103880352232,-0.3054328838957464,0.8258103375232575,0.5820978564874404,0.7809220864985446,-0.16790536126211367,-1.5129969907620606,-0.11708281361341535,0.8676797366437231,-0.6412754936526021,0.09812209700888987,-0.42015414570573173
7,7,-0.5409722462746068,-1.6423180427159747,-0.03135752646104466,0.48061400865698395,0.053937856013751194,-0.3612661809029812,-0.35599415318348937,-0.26743722905902445,-0.6765412181813847,1.0699607994207985,-0.5375793386565452,1.5978528553389935,0.5226360263478197,0.0916881102569746,0.05421629704739546,-0.4539642526998777,-0.07390887210943212,0.21841364659678747,-1.4305970651392563,-0.5328644199291795,0.959795051913261,0.637710381819464,0.9472292683284268,-0.12699165719448754,-1.7619121369260888,-0.1923468628233415,1.0900635002870098,-0.7735566136366583,-0.012885845095178552,-0.5037296372893099
8,8,-0.655749430503418,-2.108327962748378,-0.13125170689646373,0.5574636572914681,-0.030818672779206614,-0.5410059519983909,-0.5200744108538342,-0.20087028268630813,-0.685337371243604,1.3111565887820846,-0.7054775041903358,1.8563974925073736,0.596949040618298,0.01970487282592416,0.17364623918976335,-0.7046010565335399,-0.05518627186030918,0.21370848091643682,-1.5657121120576447,-0.856279976293667,1.0028987415388215,0.6993582955364314,1.1122662087933002,-0.12196718762468692,-2.0274203186220583,-0.3587425613030636,1.360610550613393,-0.9547678786381415,-0.15885313025141956,-0.6760696824607547
9,9,-0.7429367503517282,-2.479746583044033,-0.17129736520104577,0.6315167765786937,-0.19209555619602045,-0.6647463166786052,-0.7550171389659676,-0.08816060245415815,-0.6504860573211744,1.6337861846895012,-0.9117597683068859,2.0257793927923866,0.647957227869993,0.012840639890178331,0.33255604245909026,-0.8977968034731978,-0.13008596811526202,0.11673814962149998,-1.7755673014976419,-1.1976048713004717,1.0933161053977498,0.7989517863845362,1.1794469741664177,-0.027638445125203664,-2.352101135293052,-0.5007825332186041,1.6178858465897379,-1.2010477173813432,-0.31733724923973894,-0.7908303680230087
10,10,-0.7469463179329282,-2.7584629580290465,-0.21426494105321098,0.6895122731768846,-0.3257328207759378,-0.8105107100968469,-0.9613716182053553,-0.007339763872378627,-0.6954207422615527,1.8806555466030586,-1.061027957747793,2.2518613306191106,0.6524956110443307,0.009792150763483578,0.4838069549004324,-1.0606259749739033,-0.2522053356332887,0.05343088130513242,-2.0054780465572817,-1.5223873950871705,1.1503713714832071,0.8520770339705264,1.2366681038731615,0.0860749499736835,-2.7328904270214096,-0.5617492142699405,1.9131753578577462,-1.4765749709172982,-0.49978500657479563,-0.972047942338451
11,11,-0.8149395169158011,-3.1096075792674682,-0.24280322258571266,0.7163671207812521,-0.5415849478186363,-1.003911209915946,-1.103177191230085,0.04156983135884149,-0.6940479810235755,2.0837163557010014,-1.1685222658537981,2.4623882075539614,0.5781819932729664,0.08232866397105477,0.550163383831014,-1.24960331831949,-0.3372904217763831,-0.03069714740688595,-2.1775909406021317,-1.8703451614492292,1.1207391413605148,0.9425152884035212,1.1958018483522774,0.14649259246299717,-3.1783739254128682,-0.5654651384694843,2.2728330859604813,-1.8402807267921064,-0.6877083412931003,-1.0771614555908928
12,12,-0.9794424793485307,-3.5321450522240867,-0.2702000466495531,0.6891094765954177,-0.701560069272975,-1.1020573992352487,-1.3272035945859304,0.10128423047911857,-0.6730734492378524,2.2482930195565496,-1.3600380344405867,2.755208138263747,0.4863803102755451,0.23302208156792348,0.5632661409870107,-1.3886313647470545,-0.35598567373165635,-0.1521379472910518,-2.27260905197732,-2.271101437858492,0.9966925854409918,0.9987677337617249,1.193180997898439,0.23338936261524695,-3.5904704278582154,-0.5829384607222168,2.6471510697789404,-2.1935935405842883,-0.8181425701652478,-1.1601505759852073
